Time,TSN(1)-Verb,TSN(2)-Verb,TSN(3)-Verb,TSN(4)-Verb,TSN(5)-Verb,TSM(1)-Verb,TSM(2)-Verb,TSM(3)-Verb,TSM(4)-Verb,TSM(5)-Verb,TSN(1)-Noun,TSN(2)-Noun,TSN(3)-Noun,TSN(4)-Noun,TSN(5)-Noun,TSM(1)-Noun,TSM(2)-Noun,TSM(3)-Noun,TSM(4)-Noun,TSM(5)-Noun,GT-Verb,GT-Noun
00:01.7,put,take,open,close,wash,put,take,open,close,move,pan,knife,spoon,top,bowl,pan,spoon,bowl,plate,lid,take,potato
00:03.6,put,take,open,close,wash,put,take,open,close,move,pan,plate,knife,bowl,lid,pan,bowl,lid,spoon,knife,put,sausage
00:05.6,put,take,open,close,wash,put,take,open,close,move,pan,plate,knife,bowl,lid,spoon,pan,plate,lid,knife,squeeze,lemon
00:07.5,put,take,open,close,wash,put,take,open,close,move,pan,knife,bowl,spoon,plate,pan,spoon,lid,plate,knife,lift,melon
00:09.4,put,take,open,close,wash,put,take,open,close,move,pan,plate,knife,bowl,spoon,pan,plate,spoon,lid,knife,cut,cucumber
00:11.3,take,put,open,close,wash,put,take,open,close,move,pan,spoon,lid,bowl,plate,pan,lid,plate,water,knife,cut,cucumber
00:13.2,take,put,open,close,wash,put,take,open,close,move,bowl,spoon,pan,lid,knife,pan,spoon,plate,knife,bowl,do,nothing
00:15.2,put,take,open,close,wash,put,take,open,close,move,plate,pan,lid,knife,bowl,pan,plate,knife,spoon,lid,do,nothing
00:17.1,put,take,open,close,wash,put,take,open,close,move,pan,spoon,plate,knife,water,pan,plate,spoon,knife,lid,do,nothing
0:00:19,take,put,open,close,wash,put,take,close,open,move,plate,spoon,knife,pan,lid,pan,spoon,plate,lid,bowl,put,bowl
00:20.9,put,take,close,open,wash,put,take,open,close,move,pan,bowl,plate,lid,knife,spoon,lid,plate,pan,knife,put,glass
